ean,title,our_price_sk
3253560100957,Nožík ulamovací 9 mm 0-10-095,
3253560101503,Nožík ulamovací 9 mm 0-10-150,
3253560101510,Nožík ulamovací 18 mm 0-10-151,
3253560104313,Nožík ulamovací 25 mm 0-10-431,
3253560107789,Nožík Fatmax so zasúvacou čepeľou 0-10-778,
3253560108250,Stanley Nožík Fatmax s 2.čepeľou 0-10-825,
3253560108557,Stanley Nožík s 2.čepeľou STHT10424-0 (0-10-855),
3253561100994,Nožík 1-10-099 kovový so zasúvcaou čepeľou 99E,
3253568104216,Nožík ulamovací celokovový 18 mm 8-10-421,
3253562145628,Nožnice na plech 250mm ľavé 2-14-562,
3253562145635,Nožnice na plech 250mm priame prevodové FatMax 2-14-563,
3253562145642,Nožnice na plech 250mm pravé 2-14-564,
3253562145666,Nožnice na plech 300mm priame prevodové FatMax 2-14-566,
3253562145680,Nožnice na plech 250mm pravé vyhnuté 2-14-568,
3253561101502,Nožík ulamovací 9 mm 1-10-150,
3253567107782,Nožík FatMax so zasúvacou čepeľou 7-10-778,
3253560104115,Nôž odlamovací 9 mm FatMax 0-10-411,
3253561947452,Organizér 43x9x33cm SORT MASTER  1-94-745,
3253561939785,Stanley Organizér 37x22x16cm 1-93-978,
3253560342968,Pásmo 20m 0-34-296,
3253562172051,Pila 300 mm dierovka 2-17-205,
3253560151065,Píla 160mm lupienková 0-15-106,
3253560205560,Píla 302mm na sadrokartón 0-20-556,
3253561154416,Píla 650mm na porobetón 1-15-441,
3253561151224,Píla 30mm na kov 1-15-122,
3253560205591,Pílka skladacia na sadrokartón FMHT0-20559,
3253566050256,Pištoľ tavná 6-GR25,
3253566704173,Pištoľ tavná STHT6-70417,
3253565215083,Plátok 250mm náhradný náhradný a kov a plast 5-21-508,
3253565213935,Plátok 250mm náhradný 5-21-393,
3253565213980,Plátok 140mm náhradný 5-21-398,
3253560473167,Stanley Popisovač 0-47-316 čierny á 2ks s jemným hrotom,
3253561473296,"Značkovač-mini farebný  červený, čierny, zelený, modrý 1-47-329",
3253561961816,Puzdro na opasok 1-96-181,
3253561933295,Puzdro opaskové na náradie 1-93-329,
3253560140403,Rezač skla kolieskový 0-14-040,
3253561687389,Sada bitov 7D 1-68-738,
3253561139017,Sada bitov 19-dielna 1-13-901,
3253561139079,Sada bitov 40D 1-13-907,
3253561139024,Sada bitov 61 Dielov 1-13-902,
3253560692513,Sada imbus kľúčov 8-dielna 0-69-251,
3253560224646,Sada pilníkov 3-dielna 0-22-464,
3253560225001,Sada ihlových pilníkov 6-dielna 0-22-500,
3253560680107,Skrutkovač  račňový + bity 0-68-010,
3253561675003,Skrutkovač 1-67-500 Magnum,
3253560626891,Skrutkovač FMHTO-62689 Led viacbitový,
3253560626914,Skrutkovač FMHT0-62691 račňový viacbitový,
3253560663575,Skrutkovač multibit. 0-66-357,
3253561055140,Spona 12mm 1000ks 1-TRA208T,
3253561054303,Spona 14mm 1000ks G 1-TRA709T,
3253561054273,Spona 8mm 1000ks G 1-TRA705T,
3253561054297,Spona 12mm 1000ks G 1-TRA708T,
3253561053887,Spona 6mm 1000ks 1-TRA204T,
3253561053894,Spona 8mm 1000ks 1-TRA205T,
3253561055195,Spona 14mm 1000 ks 1-TRA209T,
3253566704104,Sponkovačka STHT6-70410Y TR120LD,
3253566708683,Sponkovačka 6v1 TR75 FMHT6-70868,
3253560058647,Stanley Stierka 150mm nerez STHT0-05864,
3253560058951,Stierka 200mm nerez STHT0-05895,
3253569830794,Svorka 25mm 9-83-079,
3253560831004,Svorka pásová 4500mm Bailey pásová 0-83-100,
3253560831226,Stanley Svorka  57mm Bailey HD rohová 0-83-122,
3253565211153,Škrabka 63mm plastová 5-21-115,
3253560474409,Šnúra lajnovacia 30m 0-47-440,
3253560474805,Šnúra 30m 0-47-480 (0-47-482),
3253560472443,Šnúra linkovacia 9 m STHT0-47244,
3253561704369,"Tyčinka tavná 11,3/100 mm 12 ks STHT1-70436  červené, zelené, modré",
3253561704321,"Tyčinka tavná 11,3/254 mm  24 ks STHT1-70432",
3253561711817,Vesta na náradie FMST1-71181,
3253560422943,Vodováha 200 mm Torpedo 0-42-294,
3253560421304,"Vodováha 8,7 cm  0-42-130",
3253561703270,Workcenter 2v1 1-70-327,
3253561830693,Stanley Zverák 70mm polohovací modelársky 1-83-069,
3253560830342,Zvierka 100 mm 0-83-034 Maxsteel ”G”,
3253560830359,Zvierka 150 mm 0-83-035 Maxsteel ”G”,
3253560832131,Jednoručná Svorka 450 mm,
3253561431081,Vodováha 1800 mm STHT1-43108,
3253561431098,Vodováha 2000 mm STHT1-43109,
3253561431111,Vodováha  600 mm magnetická STHT1-43111,
3253560161378,Bit na sadrokarton PH2 STHT0-16137,
3253561139765,Sada kľúčov imbus 9 dielov 1-13-976,
3253560848149,Kliešte 225 mm upínacie s ”V” spodlnou čeľusťou 0-84-814,
3253561801143,Vrecko na náradie STST1-80114,
3253561801181,Puzdro na vŕtačku STST1-80118,
3253561801440,Batoh FMST1-80144 Quick Acces FatMax 34x47x23cm,
3253561550102,Stanley Páčidlo presné malé 30cm FatMax FMHT1-55010,
3253560832476,Fatmax jednoručná truhlárska svorka 800 mm 450 kg,
3253561827068,Stanley Taška na náradie na kolieskach FatMax FMST82706-1,
3253560372316,Zvinovací meter 5m Control Lock s magnetom STHT37231-0,
5035048089927,Sada bitov 31D STA60490-XJ (STS60490-XJ),
8594017900016,Inštalatérsky zverák PIONEER 03,
8594017900634,Zverák YORK 63 Standard,
8592346349704,Hubica 9378740 ND 3-100 RN7,
8592346093188,Rúrka spoj. 350 9381310,
8592346005846,Predloha suchá 34+G1/4 OXY 622.39/644.69,
3258952002291,Samonastaviteľný kľúč na olejové filtre 65-120 mm Tona Expert,
8595149410350,Pila záhradnícka natáčacia s napínacou pákou 5263 300mm,
8595111930510,"Závitník strojný DIN 374, ISO2, HSSE M28x2 (4050)",
8595111936031,Závitník strojný brúsený s priamou drážkou a lámačom triesok 163 180 HSSE M,
8595111921983,Závitník strojný brúsený 3044 M4 DIN 371 HSSE,
8590137101081,Dláto  8mm 8101 08 ploché drevená rukoväť Wood Line Profi natur,
8590137101142,Dláto 14mm 8101 14 ploché drevená rukoväť Wood Line Profi natur,
8590137101180,Dláto 18mm 8101 18 ploché drevená rukoväť Wood Line Profi natur,
8590137101302,Dláto 30mm 8101 30 ploché drevená rukoväť Wood Line Profi natur,
8590137101326,Dláto 32mm 8101 32 ploché drevená rukoväť Wood Line Profi natur,
8590137121089,Dláto  8mm 8121 08 duté drevená rukoväť Wood Line Profi,
8590137121126,Dláto 12mm 8121 12 duté drevená rukoväť Wood Line Profi,
8590137121140,Dláto 14mm 8121 14 duté drevená rukoväť Wood Line Profi,
8590137121164,Dláto 16mm 8121 16 duté drevená rukoväť Wood Line Profi,
8590137121201,Dláto 20mm 8121 20 duté drevená rukoväť Wood Line Profi,
8590137101050,Dláto  5mm 8101 05 ploché drevená rukoväť Wood Line Profi natur,
8590137337701,Skrutkovač 8337 70 PZ0x3x60 1000V Micro Line Elektro Profi,
8590137410039,Jamkovač 3 x 110 x 10 mm 8410 03,
8590137410046,Jamkovač 4 x 125 x 10 mm 8410 04,
8590137410053,Jamkovač 5 x 125 x 10 mm 8410 05,
8590137750036,Palička 8750 03 903g PP pracovná časť PH rukoväť,
8590137400047,Priebojník 4 x 125 x 10 mm 8400 04,
8590137795051,"Páčidlo 8795 05  500x18,5mm",
8590137795068,"Páčidlo 8795 06  600x18,5mm",
8590137795105,"Páčidlo 8795 10 1000x18,5mm",
8590137630109,"Sada dlát 8630 10 ploché 6, 12, 20, 26 v krabici Wood Line Profi",
8590137925083,Dláto  8mm 8925 08 rezbárske poľgulaté PROFIL 9,
8590137113329,Dláto ploché 32 mm 8113 32 SUPER 2009 LINE PROFI,
8590137640009,Sada skrutkovačov 8640 00 PL/PH 5-dielna Profi Line,
8590137641006,Sada skrutkovačov 8641 00 PL 5-dielna Profi Line,
8590137642003,Sada skrutkovačov 8642 00 PH 5-dielna Profi Line,
8590137643000,Sada skrutkovačov 8643 00 PZ 5-dielna Profi Line,
8590137645004,Sada skrutkovačov 8645 00 TX 7-dielna Profi Line,
8590137646001,Sada skrutkovačov 8646 00 PL/PH/PZ 7-dielna Profi Line,
8590137908017,Sekera 1070 g tesárska pravá 8908 01,
8590137113107,Dláto ploché 10 mm 8113 10 SUPER 2009 LINE PROFI,
8590137013018,"Skrutkovač plochý 0,5 x 3,0 x 80 Profi Line 8013 01",
8590137013032,"Skrutkovač plochý 1,0 x 5,5 x 125 Profi Line 8013 03",
8590137013049,"Skrutkovač plochý 1,2 x 6,5 x 150 Profi Line 8013 04",
8590137013056,"Skrutkovač plochý 1,2 x 8,0 x 175 Profi Line 8013 05",
8590137013063,"Skrutkovač plochý 1,6 x 8,0 x 175 Profi Line 8013 06",
8590137013070,"Skrutkovač plochý 1,6 x 10,0 x 200 Profi Line 8013 07",
8590137013087,"Skrutkovač plochý 2,0 x 12,0 x 250 Profi Line 8013 08",
8590137015005,"Skrutkovač 8015 00 PZ 0x3,0x60 Profi Line",
8590137015012,"Skrutkovač 8015 01 PZ 1x4,5x80 Profi Line",
8590137015029,"Skrutkovač 8015 02 PZ 2x6,0x100 Profi Line",
8590137015036,"Skrutkovač 8015 03 PZ 3x8,0x150 Profi Line",
8590137015043,"Skrutkovač 8015 04 PZ 4x10,0x200 Profi Line",
8590137023017,"Skrutkovač 8023 01 PH 1x4,5x80 Profi Line",
8590137023024,"Skrutkovač 8023 02 PH 2x6,0x100 Profi Line",
8590137023031,"Skrutkovač 8023 03 PH 3x8,0xx150 Profi Line",
8590137233003,Rydlo 8233 00 duté Profil 11 Profi,
8590137088061,"Skrutkovač 8088 06 TX6x3,5x50 Profi Line",
8590137088108,"Skrutkovač 8088 10 TX10x4,0x80 Profi Line",
8590137088207,"Skrutkovač 8088 20 TX20x4,0x100 Profi Line",
8590137088306,"Skrutkovač 8088 30 TX30x6,0x115 Profi Line",
8590137088405,"Skrutkovač 8088 40 TX40x7,0x130 Profi Line",
8590137088450,"Skrutkovač 8088 45 TX45x8,0x130 Profi Line",
8590137790506,Kozinožka 8790 50,
8590137170100,Struh upichovací STANDARD LINE 8170 10,
8590137171107,Struh zapichovací STANDARD LINE 8171 10,
8590137173101,Struh uberací zaoblený STANDARD LINE 8173 10,
8590137175105,Struh vnútorný rohový pravý STANDARD LINE 8175 10,
8590137177109,Struh vnútorný rádiusový pravý STANDARD LINE 8177 10,
8590137179103,Struh kosý pravý STANDARD LINE 8179 10,
8590137480131,Výsečník tyčový 13 mm 8480 13,
8590137481305,Výsečník tyčový s hlavicou 30 mm 8481 30,
8590137481404,Výsečník tyčový s hlavicou 40 mm 8481 40,
8590137481503,Výsečník tyčový s hlavicou 50 mm 8481 50,
8590137733008,Škrabák 20x200 8733 00 plochý,
8590137071018,"Nadstavec 8071 01 plochý 0,6x4,0x30 á 30ks v krabičke",
8590137072022,Nadstavec 8072 02 PH2x30 á 30ks v krabičke,
8590137074200,Nadstavec 8074 20 TX20x30 á 30 ks v krabičke,
8590137364103,Skrutkovač univerzálny krížový 6 v 1 S line elektro 8364 10,
8590137113060,Dláto ploché 6 mm 8113 06 SUPER 2009 LINE PROFI,
8590137925168,Dláto 16mm 8925 16 rezbárske poľgulaté PROFIL 9,
8590137234000,Rydlo 8234 00 duté Profil 8 Profi,
8590137235007,Rydlo 8235 00 duté Profil 7 Profi,
8590137105225,Dláto ploché 22mm 8105 22 WOOD LINE PROFI + blister 8105 22  morené,
8590137105300,Dláto ploché 30mm 8105 30 WOOD LINE PROFI + blister 8105 30 morené,
8590137396067,"Skrutkovač 8396 06 TT6x3,5x50 S Line Profi",
8590137085459,Nadstavec 8085 55 TT45x30 s otvorom*,
8590137391079,"Skrutkovač 8391 07 plochý 1,2x7x150 S line",
8590137105089,Dláto ploché 8mm WOOD LINE PROFI 8105 08 morené,
8590137225206,Nôž rezbársky zapichovací 8225 20,
8590137176102,Struh vnútorný rádiusový ľavý STANDARD LINE 8176 10,
8590137517004,Sada dlát 8517 00 2 a 3-hrotízapúšťacích  Plast Line Profi,
8590137532502,Sada dlát ploché 6-26mm leštené 8532 50 Wood Lien Plus Premium,
8590137926103,Dláto 10mm 8926 10 rezbárske duté hlboké PROFIL 11,
8590137942103,Nôž rezbársky vyrezávací malý drevená rukoväť 8942 10,
8590137101500,Dláto 50mm 8101 50 ploché drevená rukoväť Wood Line Profi natur,
8590137755116,Palička 8755 11 PP náhradný pracovný koniec čierny,
8590137755130,Palička 8755 13 PP náhradný pracovný koniec čierny,
8590137792005,"Obťahovačka 0,8 x 50 x 150 8792 00",
8590137105409,Dláto ploché 40mm WOOD LINE PROFI 8105 40 morené,
8590137116207,Dláto ploché 20 mm brúsené PREMIUM 8116 20,
8590137320000,Skrutkovač 8320 00 1/4”x10x70 magnetický pre nástavce Profi Line,
8590137858008,Sekáč plochý 235 mm pre elektrikársky 8858 00,
8590137191020,Struh dutý hľbokoflautový HSS LINE PROFI 8191 02,
8590137311015,"Skrutkovač 8311 01 PH1x4,5x30mm Mini Line Profi",
8590137311022,"Skrutkovač 8311 02 PH2x6,0x30mm Mini Line Profii*",
8590137311039,"Skrutkovač 8311 03 PH3x8,0x35mm Mini Line Profii",
8590137312012,"Skrutkovač 8312 01 PZ1x4,5x30mm Mini Line Profi",
8590137310049,"Skrutkovač plochý 1,2 x 6,5 x 35 mm Mini Profi Line 8310 04",
8590137949003,Prípravok brúsiaci 8949 00,
8590137323001,Skrutkovač 8323 00 SWF 1/4”x170mm s ohybným driekom Profi Line,
8590137953017,Kameň 8953 01 brúsny na dláta Z220,
8590137756427,Palička 8756 42 290mm/631g s mosadzným a plastovým koncom,
8590137624016,Sada skrutkovačov 8624 01 PL/PH 7-dielna v kufri Profi Line,
8590137624023,Sada skrutkovačov 8624 02 PL/PZ 7-dielna v kufri Profi Line,
8590137626515,Sada skrutkovačov 8626 51 PL/PH 6-dielna Micro Line Profi (8626 01***),
8590137626522,Sada skrutkovačov 8626 52 PL/PZ 6-dielna Micro Line Profi,
8590137116061,Dláto ploché 6 mm brúsené PREMIUM 8116 06,
8590137098046,Skrutkovač 1 x 6 / PZ2 6-hranný 1/4” obojstranný presúvací 8098 04,
8590137396302,Skrutkovač 8396 30 TT30x6x115 S Line Profi,
8590137056152,"Skrutkovač 8,0 x 150 mm úderový Strong line Profi 8056 15",
8590137085152,Nadstavec 8085 15 TT15x30 s otvorom á 30ks v krabičke*,
8590137335547,"Skrutkovač 2,5 x 75 MICRO LINE 8335 54",
8590137338548,Skrutkovač 8338 54 TX4x50 Micro Line Profi,
8590137338562,Skrutkovač 8338 56 TX6x50 Micro Line Profi,
8590137338609,Skrutkovač 8338 60 TX10x60 Micro Line Profi,
8590137338586,Skrutkovač 8338 58 TX8x60 Micro Line Profi,
8590137056176,Skrutkovač 12 x 200 mm úderový Strong line Profi 8056 17,
8590137056183,Skrutkovač 14 x 250 mm úderový Strong line Profi 8056 18,
8590137335516,"Skrutkovač 1,2 x 60 MICRO LINE 8335 51",
8590137335523,"Skrutkovač 1,5 x 60 MICRO LINE 8335 52",
8590137109209,Dláto 20mm 8109 20 ploché s PH rukoväťou Plast Line Profi,
8590137109308,Dláto 30mm 8109 30 ploché s PH rukoväťou Plast Line Profi,
8590137056114,"Skrutkovač 3,5 x 75 mm úderový Strong line Profi 8056 11",
8590137057111,Skrutkovač PH1 x 80 úderový Strong line 8057 11,
8590137109100,Dláto 10mm 8109 10 ploché s PH rukoväťou Plast Line Profi,
8590137109124,Dláto 12mm 8109 12 ploché s PH rukoväťou Plast Line Profi,
8590137109223,Dláto 22mm 8109 22 ploché s PH rukoväťou Plast Line Profi,
8590137338579,Skrutkovač 8338 57 TX7x50 Micro Line Profi,
8590137109322,Dláto 32mm 8109 32 ploché s PH rukoväťou Plast Line Profi,
8590137338555,Skrutkovač 8338 55 TX5x50 Micro Line Profi,
8590137337503,Skrutkovač 8337 50 PZ0 3x60 Micro Line Profi,
8590137110700,Dláto 20mm 8110 70 ploché drevená rukoväť Wood Line Plus,
8590137116221,Dláto ploché 22 mm brúsené PREMIUM 8116 22,
8590137647008,Sada skrutkovačov 8647 00 PL/PH 6-dielna Profi Line,
8590137578012,Sada nástavcov 8578 01 PL/PH/PZ/TX 9-dielna s držiakom,
8590137109056,Dláto  5mm 8109 05 ploché s PH rukoväťou Plast Line Profi,
8590137101265,Dláto 26mm 8101 26 ploché drevená rukoväť Wood Line Profi natur,
8590137109261,Dláto 26mm 8109 26 ploché s PH rukoväťou Plast Line Profi,
8590137230002,Rydlo 8230 00 ploché Profil 1 Profi,
8590137322103,Skrutkovač 1/4” x 10 x 90 magnetický pre nadstavce s T rukoväťou 8322 10 S ,
8590137315051,Skrutkovač 8315 05 SW5x135 imbus T rukoväť S LINE T PROFI,
8590137315068,Skrutkovač 8315 06 SW6x180 imbus T rukoväť S LINE T PROFI,
8590137315082,Skrutkovač 8315 08 SW8x180 imbus T rukoväť S LINE T PROFI,
8590137315105,Skrutkovač 8315 10 SW10x185 imbus T rukoväť S LINE T PROFI,
8590137394148,Skrutkovač 8394 14 PZ2x6x300 dlhý driek S line,
8590137394124,"Skrutkovač 8394 12 PZ1x4,5x300 dlhý driek S line",
8590137751026,Palička 8751 02 PP/PH antireflex 290mm/340g čierna,
8590137751033,Palička 8751 03 PP/PH antireflex 310mm/624g čierna,
8590137391055,"Skrutkovač 8391 05 plochý 1,2x6x125 S line",
8590137314085,Skrutkovač SWK8 x 180 imbus T rukoväť s guľovou hlavou 8314 08 S LINE T PRO,
8590137314054,Skrutkovač SWK5 x 135 imbus T rukoväť s guľovou hlavou 8314 05 S LINE T PRO,
8590137314061,Skrutkovač SWK6 x 180 imbus T rukoväť s guľovou hlavou 8314 06 S LINE T PRO,
8590137751019,Palička 8751 01 PP/PH antireflex 270mm/180g čierna,
8590137392137,"Skrutkovač 8392 13 plochý predĺ.1x5,5x300 S line",
8590137046023,Nadstavec PZ2 x 90 8046 02,
8590137393110,"Skrutkovač 8393 11 predĺ.PH1x4,5x200 S line",
8590137393134,Skrutkovač 8393 13 predĺ.PH2x6x200 S line,
8590137392120,"Skrutkovač 8392 12 plochý predĺ.0,8x4,5x250 S line",
8590137393141,Skrutkovač 8393 14 predĺ.PH2x6x300 S line,
8590137393127,"Skrutkovač 8393 12 predĺ.PH1x4,5x300 S line",
8590137336537,Skrutkovač 8336 53 PH0 3x60 Micro Line Profi,
8590137627024,Sada skrutkovačov 8627 02 PL/PZ 7-dielna v kufri S Line,
8590137335578,Skrutkovač 4 x 100 MICRO LINE 8335 57,
8590137392113,"Skrutkovač 8392 11 plochý predĺ.0,5x3x250 S line",
8590137089952,Skrutkovač TX45 x 8 x 145 s T rukoväťou 8089 95 S LINE T PROFI,
8590137395077,"Skrutkovač 8395 07 TX7x3,5x50 S Line Profi",
8590137365056,"Skrutkovač 8365 05 SWM5,5x125 maticový S line",
8590137101401,Dláto 40mm 8101 40 ploché drevená rukoväť Wood Line Profi natur,
8590137236004,Rydlo 8236 00 uhlové Profil 41 Profi,
8590137315013,Skrutkovač 8315 01 SW2x85 imbus T rukoväť S LINE T PROFI,
8590137391024,"Skrutkovač 8391 02 plochý 0,8x4x100 S line",
8590137391048,"Skrutkovač 8391 04 plochý 1,0x5,5x125 S line",
8590137391086,"Skrutkovač 8391 08 plochý 1,2x8x175 S line",
8590137391093,"Skrutkovač 8391 09 plochý 1,6x10x200 S line",
8590137393004,Skrutkovač 8393 00 PH0x3x60 S line,
8590137393011,"Skrutkovač 8393 01 PH1x4,5x80 S line",
8590137393028,Skrutkovač 8393 02 PH2x6x100 S line,
8590137393035,Skrutkovač 8393 03 PH3x8x150 S line,
8590137394018,"Skrutkovač 8394 01 PZ1x4,5x80 S line",
8590137394025,Skrutkovač 8394 02 PZ2x6x100 S line,
8590137394032,Skrutkovač 8394 03 PZ3x8x150 S line,
8590137392021,"Skrutkovač 8392 02 plochý 0,5x3x75 S line",
8590137392038,"Skrutkovač 8392 03 plochý 0,8x4x100 S line",
8590137365100,Skrutkovač SWM10 x 125 maticový S line 8365 10,
8590137365063,Skrutkovač 8365 06 SWM6x125 maticový S line,
8590137225107,Nôž rezbársky vyrezávací 8225 10,
8590137336513,Skrutkovač 8336 51 PH000 2x60 Micro Line Profi,
8590137398108,Skrutkovač 8398 10 SWK10x150 S Line Profi,
8590137395091,"Skrutkovač 8395 09 TX9x3,5x60 S Line Profi",
8590137314108,Skrutkovač SWK10 x 185 imbus T rukoväť s guľovou hlavou 8314 10 S LINE T PR,
8590137320185,Skrutkovač 8320 18 1/4”x35x100 magnetický pre nástavce Profi Line,
8590137756021,Palička 8756 02 s kovovým a plastovým koncom,
8590137391031,"Skrutkovač 8391 03 plochý 1,0x5x100 S line",
8590137089778,Skrutkovač TX27 x 5 x 120 s T rukoväťou 8089 77 S LINE T PROFI,
8590137002067,Skrutkovač 8002 06 SP6x6x95 bezpečnostný S line,
8590137626225,Sada skrutkovačov 8626 22 PL/PH 6-dielna Micro Line Profi jemná mechanika,
8590137113305,Dláto ploché 30 mm 8113 30 SUPER 2009 LINE PROFI,
8590137112087,Dierovač  8mm  8112 08 morený Wood line Profi,
8590137396098,Skrutkovač 8396 09 TT9x4x60 S Line Profi,
8590137443044,Sekáč 8443 04 plochý 15x200x12 s PVC chráničom,
8590137251106,Palička o60 x 170 x 330 kruhová stolárska drevená 8251 10,
8590137003040,Skrutkovač 8003 04 TW4x6x95 bezpečnostný S line,
8590137116764,Dláto ploché 26 mm leštené PREMIUM 8116 76,
8590137101036,Dláto  3mm 8101 03 ploché drevená rukoväť Wood Line Profi natur,
8590137257016,Palička 8257 01 priemer 63mm rezbárska,
8590137127265,Dláto 26mm 8127 26 duté hranaté Wood Line Plus Premium,
8590137396272,Skrutkovač 8396 27 TT27x5x115 S Line Profi,
8590137105058,Dláto ploché 5mm WOOD LINE PROFI 8105 05 morené,
8590137909502,Sekera 8909 50 teslice 50x290mm,
8590137920033,Dláto rezbárske ploché rovné 3mm 8920 03 PROFIL 1,
8590137920088,Dláto rezbárske ploché rovné 8mm 8920 08 PROFIL  1,
8590137923102,Dláto 10mm 8923 10 rezbárske duté PROFIL 5,
8590137225305,Nôž rezbársky vruborezový 8225 30,
8590137924086,Dláto  8mm 8924 08 rezbárske duté PROFIL 7,
8590137928039,Dláto  3mm 8928 03 rezbárske uhlové 60° PROFIL 41,
8590137924123,Dláto 12mm 8924 12 rezbárske duté PROFIL 7,
8590137922129,Dláto rezbárske duté plytké 12mm 8922 12 PROFIL 3,
8590137926042,Dláto  4mm 8926 04 rezbárske duté hlboké PROFIL 11,
8590137116320,Dláto ploché 32 mm brúsené PREMIUM 8116 32,
8590137111622,Dláto šikmé s drevenou rukoväťou ľavé 12mm 8111 62,
8590137923065,Dláto  6mm 8923 06 rezbárske duté PROFIL 5,
8590137228207,Dláto 20mm 8228 20 rezbárske na lyžičky,
8590137221031,Nôž 8221 03 rezbársky na lyžičky obojstranný oblý,
8590137116160,Dláto ploché 16 mm brúsené PREMIUM 8116 16,
8590137945104,Sada dlát 8945 10 5-dielna rezbárska,
8590137116306,Dláto ploché 30 mm brúsené PREMIUM 8116 30,
8590137221017,Nôž 8221 01 rezbársky na lyžičky pravý,
8590137921122,Dláto 12mm 8921 12 rezbárske ploché kosé PROFIL 1,
8590137594104,Sada struhov 8594 10 5diel. v kazete,
8590137034051,"Skrutkovač 8034 05 plochý 0,8x4,0x100 Profi Line Elektro Slim",
